CATEGORÍA;ID MÉTRICA;NOMBRE MÉTRICA;EQUIPO;PERIODO;VALOR;DORSAL DEL JUGADOR;NOMBRE DEL JUGADOR;ID JUGADOR;ID EQUIPO;ID PARTIDO
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesKeyPassAssistP;Pases Propiciadores Remate (% Total);Atlético de Madrid;Total Partido;1,6666666666666667;8;Barrios;28914;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesKeyPassAssistP;Pases Propiciadores Remate (% Total);Atlético de Madrid;Total Partido;0;9;Sørloth;4398;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesKeyPassAssistP;Pases Propiciadores Remate (% Total);Atlético de Madrid;Total Partido;0;3;Azpilicueta;8142;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesKeyPassAssistP;Pases Propiciadores Remate (% Total);Atlético de Madrid;Total Partido;0;23;Reinildo;8467;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesKeyPassAssistP;Pases Propiciadores Remate (% Total);Atlético de Madrid;Total Partido;0;24;Le Normand;1992;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesKeyPassAssistP;Pases Propiciadores Remate (% Total);Atlético de Madrid;Total Partido;0;18;Vermeeren;31775;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesKeyPassAssistP;Pases Propiciadores Remate (% Total);Atlético de Madrid;Total Partido;0;2;J. M. Giménez;674;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesKeyPassAssistP;Pases Propiciadores Remate (% Total);Atlético de Madrid;Total Partido;0;17;Riquelme;2272;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesKeyPassAssistP;Pases Propiciadores Remate (% Total);Atlético de Madrid;Total Partido;0;15;Javi Galán;156;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesKeyPassAssistP;Pases Propiciadores Remate (% Total);Atlético de Madrid;Total Partido;0;27;Kostis;31039;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesKeyPassAssistP;Pases Propiciadores Remate (% Total);Atlético de Madrid;Total Partido;6,666666666666667;5;R. De Paul;13701;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesKeyPassAssistP;Pases Propiciadores Remate (% Total);Atlético de Madrid;Total Partido;0;16;Molina;29238;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesKeyPassAssistP;Pases Propiciadores Remate (% Total);Atlético de Madrid;Total Partido;9,090909090909092;10;Correa;685;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesKeyPassAssistP;Pases Propiciadores Remate (% Total);Atlético de Madrid;Total Partido;0;19;J.alvarez;28838;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesKeyPassAssistP;Pases Propiciadores Remate (% Total);Atlético de Madrid;Total Partido;0;22;Giuliano;26903;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Villarreal CF;Total Partido;0;4;E. Bailly;3962;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Villarreal CF;Total Partido;0;10;Parejo;1101;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Villarreal CF;Total Partido;0;16;Alex . B;2457;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Villarreal CF;Total Partido;0;14;Santi C.v.;408;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Villarreal CF;Total Partido;0;9;Danjuma;9941;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Villarreal CF;Total Partido;0;21;Yeremy;25132;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Villarreal CF;Total Partido;0;3;R. Albiol;2186;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Villarreal CF;Total Partido;0;17;Kiko F.;29241;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Villarreal CF;Total Partido;0;7;Gerard;814;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Villarreal CF;Total Partido;0;23;S. Cardona;2153;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Villarreal CF;Total Partido;0;5;Kambwala;33926;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Villarreal CF;Total Partido;0;22;Ayoze;24931;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Villarreal CF;Total Partido;0;19;Pepe;3243;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Villarreal CF;Total Partido;0;11;I. Akhomach;27712;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Villarreal CF;Total Partido;0;20;R. Terrats;25232;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Villarreal CF;Total Partido;0;18;Gueye;24890;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Villarreal CF;Total Partido;0;26;Pau Navarro;31669;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Villarreal CF;Total Partido;0;27;Arnau;29180;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Atlético de Madrid;Total Partido;0;14;M. Llorente;1026;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Atlético de Madrid;Total Partido;1;7;Griezmann;683;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Atlético de Madrid;Total Partido;0;6;Koke;677;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Atlético de Madrid;Total Partido;0;20;Witsel;8124;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Atlético de Madrid;Total Partido;0;12;S.lino;29182;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Atlético de Madrid;Total Partido;1;8;Barrios;28914;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Atlético de Madrid;Total Partido;0;9;Sørloth;4398;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Atlético de Madrid;Total Partido;0;3;Azpilicueta;8142;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Atlético de Madrid;Total Partido;0;23;Reinildo;8467;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Atlético de Madrid;Total Partido;0;24;Le Normand;1992;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Atlético de Madrid;Total Partido;0;18;Vermeeren;31775;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Atlético de Madrid;Total Partido;0;2;J. M. Giménez;674;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Atlético de Madrid;Total Partido;0;17;Riquelme;2272;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Atlético de Madrid;Total Partido;0;15;Javi Galán;156;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Atlético de Madrid;Total Partido;0;27;Kostis;31039;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Atlético de Madrid;Total Partido;0;5;R. De Paul;13701;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Atlético de Madrid;Total Partido;0;16;Molina;29238;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Atlético de Madrid;Total Partido;0;10;Correa;685;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Atlético de Madrid;Total Partido;0;19;J.alvarez;28838;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssist;Pases Asistencia Gol (Nº);Atlético de Madrid;Total Partido;0;22;Giuliano;26903;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Villarreal CF;Total Partido;0;4;E. Bailly;3962;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Villarreal CF;Total Partido;0;10;Parejo;1101;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Villarreal CF;Total Partido;0;16;Alex . B;2457;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Villarreal CF;Total Partido;0;14;Santi C.v.;408;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Villarreal CF;Total Partido;0;9;Danjuma;9941;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Villarreal CF;Total Partido;0;21;Yeremy;25132;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Villarreal CF;Total Partido;0;3;R. Albiol;2186;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Villarreal CF;Total Partido;0;17;Kiko F.;29241;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Villarreal CF;Total Partido;0;7;Gerard;814;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Villarreal CF;Total Partido;0;23;S. Cardona;2153;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Villarreal CF;Total Partido;0;5;Kambwala;33926;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Villarreal CF;Total Partido;0;22;Ayoze;24931;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Villarreal CF;Total Partido;0;19;Pepe;3243;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Villarreal CF;Total Partido;0;11;I. Akhomach;27712;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Villarreal CF;Total Partido;0;20;R. Terrats;25232;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Villarreal CF;Total Partido;0;18;Gueye;24890;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Villarreal CF;Total Partido;0;26;Pau Navarro;31669;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Villarreal CF;Total Partido;0;27;Arnau;29180;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Atlético de Madrid;Total Partido;0;14;M. Llorente;1026;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Atlético de Madrid;Total Partido;2,3255813953488373;7;Griezmann;683;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Atlético de Madrid;Total Partido;0;6;Koke;677;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Atlético de Madrid;Total Partido;0;20;Witsel;8124;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Atlético de Madrid;Total Partido;0;12;S.lino;29182;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Atlético de Madrid;Total Partido;1,6666666666666667;8;Barrios;28914;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Atlético de Madrid;Total Partido;0;9;Sørloth;4398;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Atlético de Madrid;Total Partido;0;3;Azpilicueta;8142;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Atlético de Madrid;Total Partido;0;23;Reinildo;8467;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Atlético de Madrid;Total Partido;0;24;Le Normand;1992;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Atlético de Madrid;Total Partido;0;18;Vermeeren;31775;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Atlético de Madrid;Total Partido;0;2;J. M. Giménez;674;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Atlético de Madrid;Total Partido;0;17;Riquelme;2272;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Atlético de Madrid;Total Partido;0;15;Javi Galán;156;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Atlético de Madrid;Total Partido;0;27;Kostis;31039;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Atlético de Madrid;Total Partido;0;5;R. De Paul;13701;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Atlético de Madrid;Total Partido;0;16;Molina;29238;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Atlético de Madrid;Total Partido;0;10;Correa;685;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Atlético de Madrid;Total Partido;0;19;J.alvarez;28838;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAssistP;Pases Asistencia Gol (% Total);Atlético de Madrid;Total Partido;0;22;Giuliano;26903;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAttack;Pases en Zona de Ataque (Nº);Villarreal CF;Total Partido;2;4;E. Bailly;3962;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAttack;Pases en Zona de Ataque (Nº);Villarreal CF;Total Partido;9;10;Parejo;1101;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAttack;Pases en Zona de Ataque (Nº);Villarreal CF;Total Partido;6;16;Alex . B;2457;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAttack;Pases en Zona de Ataque (Nº);Villarreal CF;Total Partido;9;14;Santi C.v.;408;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAttack;Pases en Zona de Ataque (Nº);Villarreal CF;Total Partido;8;9;Danjuma;9941;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAttack;Pases en Zona de Ataque (Nº);Villarreal CF;Total Partido;14;21;Yeremy;25132;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAttack;Pases en Zona de Ataque (Nº);Villarreal CF;Total Partido;1;3;R. Albiol;2186;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAttack;Pases en Zona de Ataque (Nº);Villarreal CF;Total Partido;7;17;Kiko F.;29241;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAttack;Pases en Zona de Ataque (Nº);Villarreal CF;Total Partido;8;7;Gerard;814;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAttack;Pases en Zona de Ataque (Nº);Villarreal CF;Total Partido;10;23;S. Cardona;2153;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAttack;Pases en Zona de Ataque (Nº);Villarreal CF;Total Partido;0;5;Kambwala;33926;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAttack;Pases en Zona de Ataque (Nº);Villarreal CF;Total Partido;1;22;Ayoze;24931;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAttack;Pases en Zona de Ataque (Nº);Villarreal CF;Total Partido;2;19;Pepe;3243;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAttack;Pases en Zona de Ataque (Nº);Villarreal CF;Total Partido;7;11;I. Akhomach;27712;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAttack;Pases en Zona de Ataque (Nº);Villarreal CF;Total Partido;0;20;R. Terrats;25232;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAttack;Pases en Zona de Ataque (Nº);Villarreal CF;Total Partido;1;18;Gueye;24890;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAttack;Pases en Zona de Ataque (Nº);Villarreal CF;Total Partido;0;26;Pau Navarro;31669;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAttack;Pases en Zona de Ataque (Nº);Villarreal CF;Total Partido;0;27;Arnau;29180;64;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAttack;Pases en Zona de Ataque (Nº);Atlético de Madrid;Total Partido;16;14;M. Llorente;1026;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAttack;Pases en Zona de Ataque (Nº);Atlético de Madrid;Total Partido;15;7;Griezmann;683;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAttack;Pases en Zona de Ataque (Nº);Atlético de Madrid;Total Partido;5;6;Koke;677;34;11120
TÉCNICO - TÁCTICAS APORTACIÓN OFENSIVA (Creación + Finalización);PlayerPassesAttack;Pases en Zona de Ataque (Nº);Atlético de Madrid;Total Partido;0;20;Witsel;8124;34;11120
